iter	Logloss
0	0.3651558446
1	0.2181485458
2	0.1368391027
3	0.08909103247
4	0.05845187091
5	0.03873712663
6	0.02603470777
7	0.01782877203
8	0.01244981297
9	0.008907294306
10	0.00666857863
11	0.005121307842
12	0.00411250576
13	0.003261380828
14	0.002785527985
15	0.002520446603
16	0.002246928718
17	0.002030992534
18	0.001877511851
19	0.001719855131
20	0.001674946912
21	0.001548001741
22	0.001525596537
23	0.001473025114
24	0.00144610598
25	0.001386891438
26	0.001342924762
27	0.00132562943
28	0.00129588425
29	0.001279816376
30	0.001257752986
31	0.001232174637
32	0.001211982832
33	0.001195960324
34	0.001179948532
35	0.001167521458
36	0.001149145967
37	0.001127015193
38	0.001119840954
39	0.001105467382
40	0.001096969698
41	0.001089389543
42	0.001082230347
43	0.001069090584
44	0.001058582054
45	0.001050874364
46	0.00104176163
47	0.001026883476
48	0.001020915068
49	0.00101284859
50	0.001007841585
51	0.0009982358085
52	0.0009809618982
53	0.0009715635149
54	0.0009647736989
55	0.0009568730868
56	0.0009462581205
57	0.0009369323063
58	0.0009302870409
59	0.0009253933928
60	0.0009212645466
61	0.0009177319277
62	0.0009127463429
63	0.0009018188594
64	0.0008932595308
65	0.0008849708394
66	0.0008785006325
67	0.0008744108295
68	0.0008708866041
69	0.0008680295938
70	0.0008650814561
71	0.0008530517637
72	0.0008418959979
73	0.0008293660344
74	0.000825005052
75	0.0008210175681
76	0.0008132914167
77	0.000803719294
78	0.0008004833444
79	0.0007921989584
80	0.0007897941917
81	0.0007846024826
82	0.000777880895
83	0.0007714705453
84	0.0007692612665
85	0.0007657300085
86	0.0007612363856
87	0.0007593674393
88	0.0007540215078
89	0.0007471730513
90	0.0007428517369
91	0.0007394140371
92	0.000735598755
93	0.0007330796244
94	0.0007289791275
95	0.0007241231167
96	0.0007207992589
97	0.0007176183758
98	0.0007163817856
99	0.0007128493308
